case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,configured_hbm_io_ms,onchip_io_ms,kernel_overhead_ms,non_hbm_critical_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,hbm_bytes,hbm_mib,configured_hbm_bandwidth_tbps,active_hbm_bandwidth_tbps,configured_onchip_bandwidth_tbps,active_onchip_bandwidth_tbps,required_hbm_bandwidth_tbps,required_hbm_bandwidth_over_config_x,ignore_hbm_bottleneck,ignore_onchip_io_bottleneck,sram_kib,l2_mb
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,2048,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,0.4636914893617022,0.1342,0.19140992907801418,0.13808156028368795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.19140992907801418,0.4127958642102767,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,2048,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.2701914893617022,0.0,0.0,0.0,0.0,0.24919148936170216,0.0,2.122864996566945,0.0,0.020999999999999998,0.24919148936170216,fused_core,0.24919148936170216,0.9222773446728089,16,256,16,311.86944,77.96736,4.0,4328521728,4128.0,2.039,inf,inf,inf,17.37026308196721,8.519010829802456,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,2048,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,0.27964943525085373,0.13578019437877595,0.06821287102705542,0.12286924087207776,0.2586494352508537,0.0,0.0,2.122864996566945,0.0,0.020999999999999998,0.2586494352508537,matmul_pair,0.2586494352508537,0.9249059810145427,16,256,,311.86944,77.96736,4.0,4328521728,4128.0,2.039,inf,inf,inf,16.73509058236273,8.20749905952071,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,4096,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,1.6983914893617023,0.4738,0.7354836879432624,0.4891078014184397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,0.7354836879432624,0.43304720528226115,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,4096,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,0.967927659574468,0.0,0.0,0.0,0.0,0.946927659574468,0.0,8.45854735066209,0.0,0.020999999999999998,0.946927659574468,fused_core,0.946927659574468,0.978304163754105,16,256,16,311.86944,77.96736,4.0,17246978048,16448.0,2.039,inf,inf,inf,18.213617348288754,8.932622534717387,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,4096,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,1.0555977410034147,0.5431207775151038,0.2728514841082217,0.49147696348831105,1.0345977410034148,0.0,0.0,8.45854735066209,0.0,0.020999999999999998,1.0345977410034148,matmul_pair,1.0345977410034148,0.9801060582224834,16,256,,311.86944,77.96736,4.0,17246978048,16448.0,2.039,inf,inf,inf,16.670225890183026,8.175687047662102,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,8192,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,6.7312765957446805,1.8322,3.005282269503546,1.8937943262411348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,3.005282269503546,0.4464654255038931,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,8192,1,4096,32,128,heuristic-GPU,customsa,FlashAttention-CustomSA,flashattention_customsa,3.8087106382978724,0.0,0.0,0.0,0.0,3.787710638297872,0.0,33.76836413143698,0.0,0.020999999999999998,3.787710638297872,fused_core,3.787710638297872,0.9944863230645987,16,256,16,311.86944,77.96736,4.0,68853694464,65664.0,2.039,inf,inf,inf,18.178182295081967,8.915243891653736,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,8192,1,4096,32,128,heuristic-GPU,flashattention,FlashAttention,flashattention,4.159390964013659,2.172483110060415,1.0914059364328867,1.9659078539532442,4.138390964013659,0.0,0.0,33.76836413143698,0.0,0.020999999999999998,4.138390964013659,matmul_pair,4.138390964013659,0.994951183915701,16,256,,311.86944,77.96736,4.0,68853694464,65664.0,2.039,inf,inf,inf,16.637793544093178,8.1597810417328,1,1,192,48.0
a100_fp16,A100 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/GA100.json,fp16,16384,1,4096,32,128,heuristic-GPU,baseline,Unfused Attention,trivial,27.55904397163121,7.2658000000000005,12.779909219858157,7.51333475177305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,softmax,12.779909219858157,0.4637283221077469,,,,311.86944,77.96736,4.0,0,0.0,2.039,inf,inf,inf,,,1,1,192,48.0
