case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
tpuv3_fp16,TPUv3 FP16,fp16,2048,flashattention,FlashAttention,2.1638468085106384,1.445463829787234,1.4969913213457215,1.2519127858122152,32.0
tpuv3_fp16,TPUv3 FP16,fp16,2048,customsa,FlashAttention-CustomSA,2.1638468085106384,1.154604255319149,1.8741025754426313,1.2519127858122152,32.0
tpuv3_fp16,TPUv3 FP16,fp16,4096,flashattention,FlashAttention,7.06244255319149,4.8132255319148936,1.467299320666108,1.3070651043472232,32.0
tpuv3_fp16,TPUv3 FP16,fp16,4096,customsa,FlashAttention-CustomSA,7.06244255319149,3.682468085106383,1.9178557396750562,1.3070651043472232,32.0
tpuv3_fp16,TPUv3 FP16,fp16,8192,flashattention,FlashAttention,26.650021276595744,18.352902127659576,1.4520875821830717,1.3270478335517937,32.0
tpuv3_fp16,TPUv3 FP16,fp16,8192,customsa,FlashAttention-CustomSA,26.650021276595744,13.829872340425531,1.9269896800635073,1.3270478335517937,32.0
tpuv3_fp16,TPUv3 FP16,fp16,16384,flashattention,FlashAttention,104.99967234042553,72.51160851063828,1.4480394863261223,1.3324566136349771,32.0
tpuv3_fp16,TPUv3 FP16,fp16,16384,customsa,FlashAttention-CustomSA,104.99967234042553,54.41948936170213,1.9294497903598367,1.3324566136349771,32.0
tpuv3_fp16,TPUv3 FP16,fp16,32768,flashattention,FlashAttention,418.4753361702127,289.1464340425532,1.4472782192728906,1.3338368782882457,32.0
tpuv3_fp16,TPUv3 FP16,fp16,32768,customsa,FlashAttention-CustomSA,418.4753361702127,216.7779574468085,1.9304330620095234,1.3338368782882457,32.0
tpuv3_int8,TPUv3 INT8,int8,2048,flashattention,FlashAttention,1.7143968085106382,0.872868085106383,1.9640961077202082,1.0829514497497519,32.0
tpuv3_int8,TPUv3 INT8,int8,2048,customsa,FlashAttention-CustomSA,1.7143968085106382,0.8060085106382979,2.127020727303444,1.0829514497497519,32.0
tpuv3_int8,TPUv3 INT8,int8,4096,flashattention,FlashAttention,5.305223404255319,2.5568851063829787,2.0748775105347597,1.1174781476659845,32.0
tpuv3_int8,TPUv3 INT8,int8,4096,customsa,FlashAttention-CustomSA,5.305223404255319,2.288085106382979,2.3186302771061924,1.1174781476659845,32.0
tpuv3_int8,TPUv3 INT8,int8,8192,flashattention,FlashAttention,19.630963829787234,9.25836595744681,2.120348657637302,1.1317683483804655,32.0
tpuv3_int8,TPUv3 INT8,int8,8192,customsa,FlashAttention-CustomSA,19.630963829787234,8.180442553191488,2.399743498244906,1.1317683483804655,32.0
tpuv3_int8,TPUv3 INT8,int8,16384,flashattention,FlashAttention,76.93411276595745,36.13346382978724,2.1291651729922307,1.1354950899397658,32.0
tpuv3_int8,TPUv3 INT8,int8,16384,customsa,FlashAttention-CustomSA,76.93411276595745,31.82177021276596,2.4176565996034296,1.1354950899397658,32.0
tpuv3_int8,TPUv3 INT8,int8,32768,flashattention,FlashAttention,306.15172978723405,143.63385531914892,2.1314733153056196,1.1364599478993342,32.0
tpuv3_int8,TPUv3 INT8,int8,32768,customsa,FlashAttention-CustomSA,306.15172978723405,126.38708085106381,2.4223340528610455,1.1364599478993342,32.0
