case_name,case_label,data_type,tensor_tflops,vector_tflops,tensor_vector_ratio,configured_hbm_bandwidth_tbps,baseline_ms_longest,flash_ms_longest,customsa_ms_longest,flash_required_hbm_bandwidth_tbps_longest,customsa_required_hbm_bandwidth_tbps_longest,flash_required_hbm_over_config_x_longest,customsa_required_hbm_over_config_x_longest,flash_speedup_vs_baseline_longest_x,customsa_speedup_vs_baseline_longest_x,flash_to_customsa_longest_x,flash_geomean_speedup_vs_baseline_x,customsa_geomean_speedup_vs_baseline_x
tpuv3_fp16,TPUv3 FP16,fp16,123.20768,3.85024,32.0,0.9,418.4753361702127,289.1464340425532,216.7779574468085,0.2397687472845764,0.3199233236714976,0.2664097192050849,0.3554703596349973,1.4472782192728906,1.9304330620095234,1.3338368782882457,1.4622197592221988,1.9156465521060078
tpuv3_int8,TPUv3 INT8,int8,123.20768,3.85024,32.0,0.9,306.15172978723405,143.63385531914892,108.53897872340424,0.241591030583085,0.3199233236714976,0.26843447842565,0.3554703596349973,2.1314733153056196,2.820661603675276,1.3233389240300377,2.0830051627120034,2.669233419300509
tpuv5e_fp16,TPUv5e FP16,fp16,196.608,6.144,32.0,0.8589934592,514.4071133333333,181.310432,135.23862400000002,0.1927878349022447,0.2586109762020398,0.2244345784446279,0.3010628002253824,2.8371622507266063,3.803699698492446,1.3406704877446842,2.7401095779780342,3.5788523324405044
tpuv5e_int8,TPUv5e INT8,int8,196.608,6.144,32.0,0.8589934592,374.1476486666666,90.12254933333332,67.769312,0.194253055268438,0.2586109762020398,0.2261403194494056,0.3010628002253824,4.151543109181465,5.520900797497643,1.3298430613156191,3.7822970897769426,4.824618663878843
tpuv5p_fp16,TPUv5p FP16,fp16,458.752,14.336,32.0,2.76488778752,175.65142285714285,77.87589942857143,58.13083885714286,0.449838281438571,0.6034256111380929,0.1626967587867495,0.2182459678334153,2.255529941175859,3.0216564273020046,1.339665846212064,2.1734325690485505,2.777028577110607
tpuv5p_int8,TPUv5p INT8,int8,458.752,14.336,32.0,2.76488778752,115.891692,38.795378285714285,29.21541942857143,0.4532571289596887,0.6034256111380929,0.1639332818516455,0.2182459678334153,2.9872551092683914,3.9667988434443933,1.3279076270174668,2.682344088549558,3.3313798339046365
tpuv4_fp16,TPUv4 FP16,fp16,275.2512,4.3008,64.0,1.2,362.2712152380952,129.59316571428573,96.68473142857142,0.2699029688631426,0.3620553666828557,0.2249191407192855,0.3017128055690465,2.7954500010964707,3.746933046049089,1.3403684718308013,2.674925158342295,3.4665286886024664
tpuv4_int8,TPUv4 INT8,int8,275.2512,4.3008,64.0,1.2,356.9811619047619,128.61012571428572,96.42726857142856,0.1359854067858446,0.1815125395665936,0.1133211723215371,0.151260449638828,2.7756847287266844,3.7020768833696445,1.3337526575173877,2.648870874055673,3.42270139207269
tpuv6e_fp16,TPUv6e FP16,fp16,917.504,7.168,128.0,1.6,214.0499794285714,69.64645028571428,41.08211657142857,0.5032212771702443,0.855684113865932,0.3145132982314026,0.5348025711662074,3.0733795986796593,5.210295800032781,1.6952984923408592,2.8529809201342484,4.37357261846415
tpuv6e_int8,TPUv6e INT8,int8,917.504,7.168,128.0,1.6,180.1164217142857,38.87729828571429,20.691058285714288,0.4522946244387817,0.855684113865932,0.2826841402742385,0.5348025711662074,4.632945951917411,8.70503669880643,1.8789419926653204,3.9198471714076075,6.18138053681783
