case_name,case_label,data_type,variant,variant_label,prefill_length,total_latency_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,configured_hbm_io_ms,onchip_io_ms,non_hbm_critical_ms,hbm_bytes,hbm_mib,configured_hbm_bandwidth_tbps,active_hbm_bandwidth_tbps,required_hbm_bandwidth_tbps,required_hbm_bandwidth_over_config_x,ignore_hbm_bottleneck
tpuv3_fp16,TPUv3 FP16,fp16,baseline,Unfused Attention,32768,418.4753361702127,softmax,192.57402127659572,0.4601800981605932,80.69579148936171,192.57402127659572,145.20552340425533,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,inf,,,1
tpuv3_fp16,TPUv3 FP16,fp16,customsa,FlashAttention-CustomSA,32768,216.7779574468085,fused_core,216.4779574468085,0.9986160954576132,0.0,0.0,0.0,0.0,216.4779574468085,0.0,76.95149738666666,76.82178723404255,216.4779574468085,69256347648,66048.0,0.9,inf,0.3199233236714976,0.3554703596349973,1
tpuv3_fp16,TPUv3 FP16,fp16,flashattention,FlashAttention,32768,289.1464340425532,matmul_pair,288.8464340425532,0.9989624634279396,213.0442893617021,72.24646808510639,75.80214468085106,288.84643404255314,0.0,0.0,76.95149738666666,76.82178723404255,288.84643404255314,69256347648,66048.0,0.9,inf,0.2397687472845764,0.2664097192050849,1
tpuv3_int8,TPUv3 INT8,int8,baseline,Unfused Attention,32768,306.15172978723405,softmax,192.57402127659572,0.6290149704867868,40.9387,192.57402127659572,72.6390085106383,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9,inf,,,1
tpuv3_int8,TPUv3 INT8,int8,customsa,FlashAttention-CustomSA,32768,108.53897872340424,fused_core,108.23897872340426,0.9972360160052316,0.0,0.0,0.0,0.0,108.23897872340426,0.0,38.47574869333333,38.41089361702127,108.23897872340426,34628173824,33024.0,0.9,inf,0.3199233236714976,0.3554703596349973,1
tpuv3_int8,TPUv3 INT8,int8,flashattention,FlashAttention,32768,143.63385531914892,matmul_pair,143.33385531914894,0.997911355931139,106.5308595744681,71.81943829787234,36.80299574468085,143.33385531914894,0.0,0.0,38.47574869333333,38.41089361702127,143.33385531914894,34628173824,33024.0,0.9,inf,0.241591030583085,0.26843447842565,1
tpuv4_fp16,TPUv4 FP16,fp16,baseline,Unfused Attention,32768,362.2712152380952,softmax,161.40356190476192,0.4455323942827828,71.56322666666667,161.40356190476192,129.30442666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2,inf,,,1
tpuv4_fp16,TPUv4 FP16,fp16,customsa,FlashAttention-CustomSA,32768,96.68473142857142,fused_core,96.38473142857144,0.996897131578406,0.0,0.0,0.0,0.0,96.38473142857144,0.0,29.08050773333333,29.053968253968257,96.38473142857144,34896609280,33280.0,1.2,inf,0.3620553666828557,0.3017128055690465,1
tpuv4_fp16,TPUv4 FP16,fp16,flashattention,FlashAttention,32768,129.59316571428573,matmul_pair,129.29316571428572,0.99768506311003,95.36268190476191,64.67779047619048,33.93048380952381,129.29316571428572,0.0,0.0,29.08050773333333,29.053968253968257,129.29316571428572,34896609280,33280.0,1.2,inf,0.2699029688631426,0.2249191407192855,1
tpuv4_int8,TPUv4 INT8,int8,baseline,Unfused Attention,32768,356.9811619047619,softmax,161.40356190476192,0.4521346758006865,68.25077333333333,161.40356190476192,127.32682666666668,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2,inf,,,1
tpuv4_int8,TPUv4 INT8,int8,customsa,FlashAttention-CustomSA,32768,96.42726857142856,fused_core,96.12726857142856,0.9968888468537532,0.0,0.0,0.0,0.0,96.12726857142856,0.0,14.540253866666667,14.526984126984129,96.12726857142856,17448304640,16640.0,1.2,inf,0.1815125395665936,0.151260449638828,1
tpuv4_int8,TPUv4 INT8,int8,flashattention,FlashAttention,32768,128.61012571428572,matmul_pair,128.31012571428573,0.9976673687368408,95.36658285714286,64.29549714285714,32.94354285714286,128.3101257142857,0.0,0.0,14.540253866666667,14.526984126984129,128.3101257142857,17448304640,16640.0,1.2,inf,0.1359854067858446,0.1133211723215371,1
tpuv5e_fp16,TPUv5e FP16,fp16,baseline,Unfused Attention,32768,514.4071133333333,softmax,233.367352,0.4536627623358293,100.24124933333334,233.367352,180.798512,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8589934592,inf,,,1
tpuv5e_fp16,TPUv5e FP16,fp16,customsa,FlashAttention-CustomSA,32768,135.23862400000002,fused_core,134.938624,0.9977816988140902,0.0,0.0,0.0,0.0,134.938624,0.0,40.625,40.705998738606766,134.938624,34896609280,33280.0,0.8589934592,inf,0.2586109762020398,0.3010628002253824,1
tpuv5e_fp16,TPUv5e FP16,fp16,flashattention,FlashAttention,32768,181.310432,matmul_pair,181.010432,0.9983453792664286,133.50775466666667,45.27445333333333,47.50267733333333,181.010432,0.0,0.0,40.625,40.705998738606766,181.010432,34896609280,33280.0,0.8589934592,inf,0.1927878349022447,0.2244345784446279,1
tpuv5e_int8,TPUv5e INT8,int8,baseline,Unfused Attention,32768,374.1476486666666,softmax,233.367352,0.623730639044882,50.31924866666667,233.367352,90.461048,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8589934592,inf,,,1
tpuv5e_int8,TPUv5e INT8,int8,customsa,FlashAttention-CustomSA,32768,67.769312,fused_core,67.469312,0.995573217564906,0.0,0.0,0.0,0.0,67.469312,0.0,20.3125,20.352999369303383,67.469312,17448304640,16640.0,0.8589934592,inf,0.2586109762020398,0.3010628002253824,1
tpuv5e_int8,TPUv5e INT8,int8,flashattention,FlashAttention,32768,90.12254933333332,matmul_pair,89.82254933333333,0.996671199358882,66.75933866666666,45.006848000000005,23.063210666666667,89.82254933333334,0.0,0.0,20.3125,20.352999369303383,89.82254933333334,17448304640,16640.0,0.8589934592,inf,0.194253055268438,0.2261403194494056,1
tpuv5p_fp16,TPUv5p FP16,fp16,baseline,Unfused Attention,32768,175.65142285714285,a_mul_v,76.91974971428571,0.4379113386223149,42.39155314285714,56.34012,76.91974971428571,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.76488778752,inf,,,1
tpuv5p_fp16,TPUv5p FP16,fp16,customsa,FlashAttention-CustomSA,32768,58.13083885714286,fused_core,57.83083885714286,0.994839228094794,0.0,0.0,0.0,0.0,57.83083885714286,0.0,12.621347396995429,12.628182293472609,57.83083885714286,34896609280,33280.0,2.76488778752,inf,0.6034256111380929,0.2182459678334153,1
tpuv5p_fp16,TPUv5p FP16,fp16,flashattention,FlashAttention,32768,77.87589942857143,matmul_pair,77.57589942857143,0.996147717044666,57.21760914285714,19.403337142857144,20.358290285714286,77.57589942857143,0.0,0.0,12.621347396995429,12.628182293472609,77.57589942857143,34896609280,33280.0,2.76488778752,inf,0.449838281438571,0.1626967587867495,1
tpuv5p_int8,TPUv5p INT8,int8,baseline,Unfused Attention,32768,115.891692,softmax,56.34012,0.4861445978370909,21.035942285714285,56.34012,38.51562971428572,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.76488778752,inf,,,1
tpuv5p_int8,TPUv5p INT8,int8,customsa,FlashAttention-CustomSA,32768,29.21541942857143,fused_core,28.91541942857143,0.9897314498347878,0.0,0.0,0.0,0.0,28.91541942857143,0.0,6.310673698497713,6.314091146736304,28.91541942857143,17448304640,16640.0,2.76488778752,inf,0.6034256111380929,0.2182459678334153,1
tpuv5p_int8,TPUv5p INT8,int8,flashattention,FlashAttention,32768,38.795378285714285,matmul_pair,38.49537828571428,0.9922671201247064,28.611145142857143,19.288649142857142,9.88423314285714,38.49537828571428,0.0,0.0,6.310673698497713,6.314091146736304,38.49537828571428,17448304640,16640.0,2.76488778752,inf,0.4532571289596887,0.1639332818516455,1
tpuv6e_fp16,TPUv6e FP16,fp16,baseline,Unfused Attention,32768,214.0499794285714,softmax,148.53275428571428,0.6939162277998712,18.34744,148.53275428571428,47.16978514285714,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.6,inf,,,1
tpuv6e_fp16,TPUv6e FP16,fp16,customsa,FlashAttention-CustomSA,32768,41.08211657142857,fused_core,40.782116571428574,0.9926975524866546,0.0,0.0,0.0,0.0,40.782116571428574,0.0,21.8103808,21.8103808,40.782116571428574,34896609280,33280.0,1.6,inf,0.855684113865932,0.5348025711662074,1
tpuv6e_fp16,TPUv6e FP16,fp16,flashattention,FlashAttention,32768,69.64645028571428,matmul_pair,69.34645028571428,0.9956925299312558,47.785106285714285,38.80667428571429,21.561344,69.34645028571428,0.0,0.0,21.8103808,21.8103808,69.34645028571428,34896609280,33280.0,1.6,inf,0.5032212771702443,0.3145132982314026,1
tpuv6e_int8,TPUv6e INT8,int8,baseline,Unfused Attention,32768,180.1164217142857,softmax,148.53275428571428,0.8246485960137947,8.273777142857144,148.53275428571428,23.309890285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.6,inf,,,1
tpuv6e_int8,TPUv6e INT8,int8,customsa,FlashAttention-CustomSA,32768,20.691058285714288,fused_core,20.391058285714287,0.985500983281888,0.0,0.0,0.0,0.0,20.391058285714287,0.0,10.9051904,10.9051904,20.391058285714287,17448304640,16640.0,1.6,inf,0.855684113865932,0.5348025711662074,1
tpuv6e_int8,TPUv6e INT8,int8,flashattention,FlashAttention,32768,38.87729828571429,softmax,38.577298285714285,0.9922834144030466,23.892553142857142,38.577298285714285,10.186166857142856,38.577298285714285,0.0,0.0,10.9051904,10.9051904,38.577298285714285,17448304640,16640.0,1.6,inf,0.4522946244387817,0.2826841402742385,1
