case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source,bottleneck_component,bottleneck_ms,bottleneck_share_of_total
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,2048,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1.1716695312499998,0.327505078125,0.5158105468749999,0.32835390625,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,2048,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.45525,0.0,0.0,0.0,0.0,0.15525,0.0,0.06833333333333333,0.3,512,2048,512,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,2048,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.5103,0.152775,0.08795,0.057525,0.2103,0.0,0.0,0.06833333333333333,0.3,512,2048,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,4096,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,3.114321875,0.9750550781249999,1.1620410156249998,0.97722578125,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,4096,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.9177000000000001,0.0,0.0,0.0,0.0,0.6177,0.0,0.24600000000000002,0.3,512,4096,512,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,4096,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,1.1286,0.61115,0.3466,0.21745,0.8286,0.0,0.0,0.24600000000000002,0.3,512,4096,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,8192,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,10.883665625,3.565255078125,3.745641015625,3.5727695312499996,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,8192,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2.7708,0.0,0.0,0.0,0.0,2.4708,0.0,0.9293333333333333,0.3,512,4096,512,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,8192,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,3.6144,2.4446,1.3864,0.8698,3.3144,0.0,0.0,0.9293333333333333,0.3,512,4096,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,16384,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,41.955674218750005,13.926055078125001,14.074562109375,13.95505703125,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,16384,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,10.1832,0.0,0.0,0.0,0.0,9.8832,0.0,3.608,0.3,512,4096,512,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_fp16,AWSv4 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/AWSv4.json,fp16,16384,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,13.557599999999999,9.7784,5.5456,3.4792,13.2576,0.0,0.0,3.608,0.3,512,4096,,671.08864,9.8304,68.26666666666668,source_csv,,,
