case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio,source
tpuv6e_fp16,TPUv6e FP16,fp16,2048,flashattention,FlashAttention,1.3762902857142856,0.5802102857142856,2.3720542699789635,1.2376137216853722,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,2048,customsa,FlashAttention-CustomSA,1.3762902857142856,0.4688137142857142,2.935686913108344,1.2376137216853722,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,4096,flashattention,FlashAttention,3.8971177142857147,1.3835382857142857,2.816776199491821,1.4762141676056133,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,4096,customsa,FlashAttention-CustomSA,3.8971177142857147,0.9372205714285714,4.158164932664121,1.4762141676056133,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,8192,flashattention,FlashAttention,13.936674285714286,4.634153142857143,3.0073831951789494,1.626656589531654,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,8192,customsa,FlashAttention-CustomSA,13.936674285714286,2.8488822857142857,4.891979691684599,1.626656589531654,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,16384,flashattention,FlashAttention,53.97934057142857,17.636612571428575,3.0606410586393133,1.6803928921898503,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,16384,customsa,FlashAttention-CustomSA,53.97934057142857,10.495529142857142,5.143079480481921,1.6803928921898503,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,32768,flashattention,FlashAttention,214.0499794285714,69.64645028571428,3.0733795986796593,1.6952984923408592,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,32768,customsa,FlashAttention-CustomSA,214.0499794285714,41.08211657142857,5.210295800032781,1.6952984923408592,128.0,source_csv
tpuv6e_fp16,TPUv6e FP16,fp16,65536,flashattention,FlashAttention,688.385856,277.6858011428572,2.4790099211657406,1.6991274987393703,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,65536,customsa,FlashAttention-CustomSA,688.385856,163.42846628571428,4.212153926700428,1.6991274987393703,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,131072,flashattention,FlashAttention,2750.64124672,1109.8432045714285,2.478405269672461,1.7000913489001315,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,131072,customsa,FlashAttention-CustomSA,2750.64124672,652.8138651428571,4.213515358038649,1.7000913489001315,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,262144,flashattention,FlashAttention,10998.32063232,4438.472818285714,2.477951557348484,1.7003327268364037,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,262144,customsa,FlashAttention-CustomSA,10998.32063232,2610.355460571429,4.213342128474861,1.7003327268364037,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,524288,flashattention,FlashAttention,43986.353820159995,17752.991273142856,2.4776868947546653,1.7003930973297254,128.0,fixed_tile_model
tpuv6e_fp16,TPUv6e FP16,fp16,524288,customsa,FlashAttention-CustomSA,43986.353820159995,10440.521842285714,4.213041693185154,1.7003930973297254,128.0,fixed_tile_model
