case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source,bottleneck_component,bottleneck_ms,bottleneck_share_of_total
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,2048,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,0.856123046875,0.16727031250000002,0.5158105468749999,0.1730421875,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,2048,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.35288125,0.0,0.0,0.0,0.0,0.052881250000000005,0.0,0.0205,0.3,1024,2048,1024,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,2048,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.44256249999999997,0.0382,0.1425625,0.014387500000000001,0.1425625,0.0,0.0,0.0205,0.3,1024,2048,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,4096,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1.860616796875,0.34537109375,1.1620410156249998,0.3532046875,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,4096,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.50986875,0.0,0.0,0.0,0.0,0.20986875,0.0,0.06833333333333333,0.3,1024,4096,1024,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,4096,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.8650249999999999,0.1528,0.565025,0.054375,0.565025,0.0,0.0,0.06833333333333333,0.3,1024,4096,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,8192,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,5.860991796875,1.04812109375,3.745641015625,1.0672296875,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,8192,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2.0766666666666667,0.0,0.0,0.0,0.0,0.8593000000000001,0.0,1.7766666666666666,0.3,128,8192,128,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,8192,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,2.5496,0.6112,2.2496,0.2408,2.2496,0.0,0.0,1.7766666666666666,0.3,128,8192,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,16384,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,21.841450390624995,3.85898828125,14.074562109375,3.9078999999999997,0.0,0.0,0.0,0.0,0.0,,,,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,16384,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,7.352,0.0,0.0,0.0,0.0,3.3844000000000003,0.0,7.0520000000000005,0.3,128,16384,128,671.08864,9.8304,68.26666666666668,source_csv,,,
awsv4_int8,AWSv4 INT8,/home/CONNECT/cxu930/Documents/pinn-fullstack/LLMCompass/configs/ours/AWSv4.json,int8,16384,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,9.2776,2.4448,8.9776,0.8912,8.9776,0.0,0.0,7.0520000000000005,0.3,128,16384,,671.08864,9.8304,68.26666666666668,source_csv,,,
