case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,2048,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,0.14399830533235938,0.03631886048210372,0.07136058436815193,0.03631886048210372,0.0,0.0,0.0,0.0,0.0,softmax,0.07136058436815193,0.49556544574219885,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,2048,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.05933081081081081,0.0,0.0,0.0,0.0,0.038330810810810814,0.0,0.0,0.020999999999999998,fused_core,0.038330810810810814,0.6460523678504401,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,2048,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.05702325785244704,0.018909218407596785,0.029740131482834182,0.017114039444850255,0.03602325785244704,0.0,0.0,0.0,0.020999999999999998,matmul_pair,0.03602325785244704,0.6317292138176419,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,4096,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,0.41399322132943756,0.08227544192841489,0.24944233747260774,0.08227544192841489,0.0,0.0,0.0,0.0,0.0,softmax,0.24944233747260774,0.602527588909753,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,4096,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.15515783783783782,0.0,0.0,0.0,0.0,0.13415783783783783,0.0,0.0,0.020999999999999998,fused_core,0.13415783783783783,0.8646539530800371,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,4096,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.16509303140978815,0.07563687363038714,0.11896052593133673,0.06845615777940102,0.14409303140978816,0.0,0.0,0.0,0.020999999999999998,matmul_pair,0.14409303140978816,0.8727989920551248,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,8192,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,1.4939728853177503,0.2661017677136596,0.9617693498904308,0.2661017677136596,0.0,0.0,0.0,0.0,0.0,softmax,0.9617693498904308,0.6437662686802204,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,8192,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,0.5576313513513513,0.0,0.0,0.0,0.0,0.5366313513513513,0.0,0.0,0.020999999999999998,fused_core,0.5366313513513513,0.9623407113873546,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,8192,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,0.5973721256391527,0.30254749452154855,0.4758421037253469,0.2738246311176041,0.5763721256391526,0.0,0.0,0.0,0.020999999999999998,matmul_pair,0.5763721256391526,0.9648460329856683,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,16384,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,5.813891541271,1.0014070708546383,3.8110773995617233,1.0014070708546383,0.0,0.0,0.0,0.0,0.0,softmax,3.8110773995617233,0.655512297143501,,,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,16384,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2.1675254054054056,0.0,0.0,0.0,0.0,2.1465254054054053,0.0,0.0,0.020999999999999998,fused_core,2.1465254054054053,0.9903115322442679,32,256,32,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,16384,1,4096,32,128,fixed-tile,flashattention,FlashAttention,flashattention,2.326488502556611,1.2101899780861942,1.9033684149013876,1.0952985244704163,2.3054885025566105,0.0,0.0,0.0,0.020999999999999998,matmul_pair,2.3054885025566105,0.9909735208332544,32,256,,2242.9696,70.0928,32.0,fixed_tile_model
b300_fp16,B300 FP16,${SOURCE_ROOT}/LLMCompass/configs/ours/B300.json,fp16,32768,1,4096,32,128,fixed-tile,baseline,Unfused Attention,trivial,23.093566165084003,3.9426282834185535,15.208309598246894,3.9426282834185535,0.0,0.0,0.0,0.0,0.0,softmax,15.208309598246894,0.6585518013775147,,,,2242.9696,70.0928,32.0,fixed_tile_model
