model,kind,variant,metric,value,metrics_path
facebook-opt-6.7b,wikitext,fp16_exact,ppl,10.855806190343237,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/fp16_exact/metrics.json
facebook-opt-6.7b,wikitext,fp16_pinn8,ppl,10.785614140704025,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/fp16_pinn8/metrics.json
facebook-opt-6.7b,wikitext,fp16_pinn16,ppl,10.837190362048249,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/fp16_pinn16/metrics.json
facebook-opt-6.7b,wikitext,fp16_pinn32,ppl,10.830958482463707,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/fp16_pinn32/metrics.json
facebook-opt-6.7b,wikitext,int8_exact,ppl,10.913417136255756,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/int8_exact/metrics.json
facebook-opt-6.7b,wikitext,int8_pinn8,ppl,10.851051919489786,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/int8_pinn8/metrics.json
facebook-opt-6.7b,wikitext,int8_pinn16,ppl,10.850535064793538,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/int8_pinn16/metrics.json
facebook-opt-6.7b,wikitext,int8_pinn32,ppl,10.857151902372562,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/facebook_opt_6_7b/int8_pinn32/metrics.json
Llama-2-7b-hf,wikitext,fp16_exact,ppl,5.4737761654406745,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/fp16_exact/metrics.json
Llama-2-7b-hf,wikitext,fp16_pinn8,ppl,5.508618389824993,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/fp16_pinn8/metrics.json
Llama-2-7b-hf,wikitext,fp16_pinn16,ppl,5.476868538852358,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/fp16_pinn16/metrics.json
Llama-2-7b-hf,wikitext,fp16_pinn32,ppl,5.475798094985317,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/fp16_pinn32/metrics.json
Llama-2-7b-hf,wikitext,int8_exact,ppl,5.562552688899083,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/int8_exact/metrics.json
Llama-2-7b-hf,wikitext,int8_pinn8,ppl,5.684448824227773,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/int8_pinn8/metrics.json
Llama-2-7b-hf,wikitext,int8_pinn16,ppl,5.703572367195734,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/int8_pinn16/metrics.json
Llama-2-7b-hf,wikitext,int8_pinn32,ppl,5.690129754953114,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_2_7b_hf/int8_pinn32/metrics.json
Llama-3-8b,wikitext,fp16_exact,ppl,6.137873637780244,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/fp16_exact/metrics.json
Llama-3-8b,wikitext,fp16_pinn8,ppl,6.224897355528731,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/fp16_pinn8/metrics.json
Llama-3-8b,wikitext,fp16_pinn16,ppl,6.147711857443517,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/fp16_pinn16/metrics.json
Llama-3-8b,wikitext,fp16_pinn32,ppl,6.147997435993367,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/fp16_pinn32/metrics.json
Llama-3-8b,wikitext,int8_exact,ppl,6.4399355620509,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/int8_exact/metrics.json
Llama-3-8b,wikitext,int8_pinn8,ppl,6.729486679972013,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/int8_pinn8/metrics.json
Llama-3-8b,wikitext,int8_pinn16,ppl,6.773613345798564,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/int8_pinn16/metrics.json
Llama-3-8b,wikitext,int8_pinn32,ppl,6.735064488906444,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/llama_3_8b/int8_pinn32/metrics.json
Qwen2.5-7B,wikitext,fp16_exact,ppl,7.7337096899453925,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/fp16_exact/metrics.json
Qwen2.5-7B,wikitext,fp16_pinn8,ppl,7.761397018116425,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/fp16_pinn8/metrics.json
Qwen2.5-7B,wikitext,fp16_pinn16,ppl,7.7154840445830475,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/fp16_pinn16/metrics.json
Qwen2.5-7B,wikitext,fp16_pinn32,ppl,7.721322625722202,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/fp16_pinn32/metrics.json
Qwen2.5-7B,wikitext,int8_exact,ppl,8.390986235958355,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/int8_exact/metrics.json
Qwen2.5-7B,wikitext,int8_pinn8,ppl,8.705587649266464,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/int8_pinn8/metrics.json
Qwen2.5-7B,wikitext,int8_pinn16,ppl,8.704926707840523,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/int8_pinn16/metrics.json
Qwen2.5-7B,wikitext,int8_pinn32,ppl,8.67746819435271,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen2_5_7b/int8_pinn32/metrics.json
Qwen3-8B,wikitext,fp16_exact,ppl,9.728187856261416,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/fp16_exact/metrics.json
Qwen3-8B,wikitext,fp16_pinn8,ppl,9.466862330480758,/data/user/cxu930/projects/pinn-fullstack/ae-exp/results/2026-07-13_214407_scope_ae/figure16/wikitext/qwen3_8b/fp16_pinn8/metrics.json
