model,metric,variant,paper,reproduced,error,tolerance,pass
facebook-opt-6.7b,arc_easy,fp16_exact,0.601010101010101,0.6001683501683501,-0.0008417508417508657,0.005,True
facebook-opt-6.7b,arc_easy,fp16_pinn8,0.6039562289562289,0.6022727272727273,-0.0016835016835016203,0.005,True
facebook-opt-6.7b,arc_easy,fp16_pinn16,0.601010101010101,0.6022727272727273,0.0012626262626262985,0.005,True
facebook-opt-6.7b,arc_easy,fp16_pinn32,0.6014309764309764,0.601010101010101,-0.00042087542087543284,0.005,True
facebook-opt-6.7b,arc_easy,int8_exact,0.5984848484848485,0.5993265993265994,0.0008417508417508657,0.005,True
facebook-opt-6.7b,arc_easy,int8_pinn8,0.6085858585858586,0.6035353535353535,-0.005050505050505083,0.005,False
facebook-opt-6.7b,arc_easy,int8_pinn16,0.6056397306397306,0.6022727272727273,-0.0033670033670033517,0.005,True
facebook-opt-6.7b,arc_easy,int8_pinn32,0.6047979797979798,0.5938552188552189,-0.01094276094276092,0.005,False
facebook-opt-6.7b,hellaswag,fp16_exact,0.6718781119298944,0.6724756024696276,0.0005974905397331254,0.005,True
facebook-opt-6.7b,hellaswag,fp16_pinn8,0.6734714200358495,0.6735710017924716,9.958175662216906e-05,0.005,True
facebook-opt-6.7b,hellaswag,fp16_pinn16,0.6717785301732723,0.6714797849034057,-0.0002987452698666182,0.005,True
facebook-opt-6.7b,hellaswag,fp16_pinn32,0.6717785301732723,0.6718781119298944,9.958175662216906e-05,0.005,True
facebook-opt-6.7b,hellaswag,int8_exact,0.6719776936865166,0.6720772754431388,9.958175662216906e-05,0.005,True
facebook-opt-6.7b,hellaswag,int8_pinn8,0.6730730930093607,0.6719776936865166,-0.0010953993228440817,0.005,True
facebook-opt-6.7b,hellaswag,int8_pinn16,0.6721768571997611,0.6714797849034057,-0.0006970722963554055,0.005,True
facebook-opt-6.7b,hellaswag,int8_pinn32,0.6726747659828719,0.6715793666600279,-0.0010953993228439707,0.005,True
facebook-opt-6.7b,piqa,fp16_exact,0.76550598476605,0.764417845484222,-0.0010881392818280489,0.005,True
facebook-opt-6.7b,piqa,fp16_pinn8,0.7665941240478781,0.764961915125136,-0.0016322089227420733,0.005,True
facebook-opt-6.7b,piqa,fp16_pinn16,0.764417845484222,0.76550598476605,0.0010881392818280489,0.005,True
facebook-opt-6.7b,piqa,fp16_pinn32,0.764417845484222,0.7633297062023939,-0.0010881392818280489,0.005,True
facebook-opt-6.7b,piqa,int8_exact,0.7665941240478781,0.7606093579978237,-0.00598476605005438,0.005,False
facebook-opt-6.7b,piqa,int8_pinn8,0.7671381936887922,0.763873775843308,-0.0032644178454842576,0.005,True
facebook-opt-6.7b,piqa,int8_pinn16,0.764961915125136,0.7622415669205659,-0.002720348204570122,0.005,True
facebook-opt-6.7b,piqa,int8_pinn32,0.7611534276387377,0.763873775843308,0.002720348204570233,0.005,True
facebook-opt-6.7b,winogrande,fp16_exact,0.6519337016574586,0.6464088397790055,-0.0055248618784530246,0.005,False
facebook-opt-6.7b,winogrande,fp16_pinn8,0.6535122336227308,0.6440410418310971,-0.009471191791633693,0.005,False
facebook-opt-6.7b,winogrande,fp16_pinn16,0.6511444356748224,0.6495659037095501,-0.0015785319652722452,0.005,True
facebook-opt-6.7b,winogrande,fp16_pinn32,0.6519337016574586,0.6479873717442778,-0.003946329913180779,0.005,True
facebook-opt-6.7b,winogrande,int8_exact,0.6527229676400947,0.6503551696921863,-0.0023677979479084232,0.005,True
facebook-opt-6.7b,winogrande,int8_pinn8,0.6416732438831886,0.6527229676400947,0.01104972375690616,0.005,False
facebook-opt-6.7b,winogrande,int8_pinn16,0.6511444356748224,0.6456195737963694,-0.0055248618784530246,0.005,False
facebook-opt-6.7b,winogrande,int8_pinn32,0.6456195737963694,0.6385161799526441,-0.00710339384372527,0.005,False
Llama-2-7b-hf,arc_easy,fp16_exact,0.7466329966329966,0.747895622895623,0.0012626262626262985,0.005,True
Llama-2-7b-hf,arc_easy,fp16_pinn8,0.7441077441077442,0.7436868686868687,-0.00042087542087543284,0.005,True
Llama-2-7b-hf,arc_easy,fp16_pinn16,0.7462121212121212,0.7449494949494949,-0.0012626262626262985,0.005,True
Llama-2-7b-hf,arc_easy,fp16_pinn32,0.7457912457912458,0.7462121212121212,0.00042087542087543284,0.005,True
Llama-2-7b-hf,arc_easy,int8_exact,0.7382154882154882,0.7373737373737373,-0.0008417508417508657,0.005,True
Llama-2-7b-hf,arc_easy,int8_pinn8,0.7411616161616161,0.7407407407407407,-0.00042087542087543284,0.005,True
Llama-2-7b-hf,arc_easy,int8_pinn16,0.7373737373737373,0.7335858585858586,-0.0037878787878787845,0.005,True
Llama-2-7b-hf,arc_easy,int8_pinn32,0.7344276094276094,0.73989898989899,0.005471380471380516,0.005,False
Llama-2-7b-hf,hellaswag,fp16_exact,0.759609639514041,0.7597092212706632,9.958175662216906e-05,0.005,True
