model,eval_kind,precision,mode,variant_impl,variant_label,source_experiment,source_result_dir,collected_result_dir,ppl,group1_mean,arc_easy,hellaswag,piqa,winogrande
Llama-2-7b-hf,lm,fp16,fp16,exact,exact,end2endacc_llama2_7b_int8_lm_eval,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-02_051615_exact_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-02_051615_exact_group1,,0.7443420744423038,0.7466329966329966,0.759609639514041,0.7899891186071817,0.681136543014996
Llama-2-7b-hf,lm,fp16,fp16,pinn_fp,pinn16,end2endacc_llama2_7b_int8_lm_eval,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-03_20-51-05,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-03_20-51-05,,0.745742548252476,0.7462121212121212,0.760107548297152,0.7899891186071817,0.6866614048934491
Llama-2-7b-hf,lm,fp16,fp16,pinn_fp,pinn32,end2endacc_llama2_7b_int8_lm_eval,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-02_051615_pinn_exact_dim32_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-02_051615_pinn_exact_dim32_group1,,0.7462868199198314,0.7457912457912458,0.7591117307309301,0.7872687704026116,0.6929755327545383
Llama-2-7b-hf,lm,fp16,fp16,pinn_fp,pinn8,end2endacc_llama2_7b_int8_lm_eval,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-03_20-50-16,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_int8_lm_eval/results/2026-04-03_20-50-16,,0.7450882187307706,0.7441077441077442,0.7586138219478191,0.7878128400435256,0.6898184688239937
Llama-2-7b-hf,lm,fp8,dyn_sq,exact,exact,end2endacc_llama2_7b_w8a8_pinn_ablation,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_04_dyn_sq_exact_fp8_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_04_dyn_sq_exact_fp8_group1,,0.7459911457970834,0.7428451178451179,0.7565226050587532,0.7916213275299239,0.6929755327545383
Llama-2-7b-hf,lm,fp8,dyn_sq,pinn_fp,pinn16,end2endacc_llama2_7b_w8a8_pinn_ablation,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_05_dyn_sq_pinn_fp_fp8_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_05_dyn_sq_pinn_fp_fp8_group1,,0.7441033132747974,0.7449494949494949,0.7582154949213304,0.7905331882480957,0.6827150749802684
Llama-2-7b-hf,lm,fp8,dyn_sq,pinn_fp,pinn32,end2endacc_llama2_7b_lm_eval_group1_completion,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_03_dyn_sq_pinn_fp_d32_fp8_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_03_dyn_sq_pinn_fp_d32_fp8_group1,,0.7456729181114918,0.7428451178451179,0.7588129854610636,0.7872687704026116,0.6937647987371744
Llama-2-7b-hf,lm,fp8,dyn_sq,pinn_fp,pinn8,end2endacc_llama2_7b_lm_eval_group1_completion,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_01_dyn_sq_pinn_fp_d8_fp8_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_01_dyn_sq_pinn_fp_d8_fp8_group1,,0.7446038991822905,0.7432659932659933,0.7578171678948417,0.7867247007616975,0.6906077348066298
Llama-2-7b-hf,lm,fp8,dyn_sq,pinn_fp8,pinn16,end2endacc_llama2_7b_w8a8_pinn_ablation,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_06_dyn_sq_pinn_fp8_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_w8a8_pinn_ablation/results/2026-04-04_141715_06_dyn_sq_pinn_fp8_group1,,0.7440867000512894,0.7436868686868687,0.7556263692491536,0.7856365614798694,0.691397000789266
Llama-2-7b-hf,lm,fp8,dyn_sq,pinn_fp8,pinn32,end2endacc_llama2_7b_lm_eval_group1_completion,${SOURCE_ROOT}/experiments/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_04_dyn_sq_pinn_fp8_d32_group1,${SOURCE_ROOT}/experiments/end2endacc_all_in_one/collected/end2endacc_llama2_7b_lm_eval_group1_completion/results/2026-04-04_141715_04_dyn_sq_pinn_fp8_d32_group1,,0.7430069389594097,0.7415824915824916,0.7560246962756423,0.7861806311207835,0.6882399368587214
