model,model_path,config,backbone,pinn,dim,wikitext2_ppl,wikitext_blocks,group1_avg_acc,piqa_acc_norm,hellaswag_acc_norm,winogrande_acc,arc_easy_acc_norm,wikitext_source,lm_eval_source,notes
Qwen2.5-7B,models/Qwen2.5-7B,bf16_exact,exact,baseline,,7.7337096899453925,146,0.7621422761171504,0.7959738846572362,0.7814180442143,0.7119179163378059,0.7592592592592593,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/wikitext/2026-06-08_qwen2_5_7b_bf16_exact_wikitext2_aligned/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/lm_eval/2026-06-07_180534_qwen2_5_7b_00_exact_group1/metrics.json,BF16 exact baseline; WikiText PPL rerun with Llama3-aligned full setup.
Qwen2.5-7B,models/Qwen2.5-7B,bf16_pinn_d8,exact,pinn_fp,8,7.761397018116425,146,0.7623580849089272,0.795429815016322,0.7807209719179447,0.7119179163378059,0.7613636363636364,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_exact_pinn_dim8/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_exact_pinn_dim8_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen2.5-7B,models/Qwen2.5-7B,bf16_pinn_d16,exact,pinn_fp,16,7.7154840445830475,146,0.7626880007555082,0.7883569096844396,0.7821151165106552,0.7205998421468035,0.7596801346801347,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_exact_pinn_dim16/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_exact_pinn_dim16_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen2.5-7B,models/Qwen2.5-7B,bf16_pinn_d32,exact,pinn_fp,32,7.721322625722202,146,0.764586292495254,0.79379760609358,0.7822146982672774,0.7277032359905288,0.7546296296296297,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_exact_pinn_dim32/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_exact_pinn_dim32_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen2.5-7B,models/Qwen2.5-7B,static_sq_w8a8_exact,static_sq,baseline,,8.390986235958355,146,0.739920171685887,0.7861806311207835,0.7576180043815973,0.6953433307024467,0.7205387205387206,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/wikitext/2026-06-07_180534_qwen2_5_7b_08_static_sq_baseline/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/lm_eval/2026-06-07_180534_qwen2_5_7b_08_static_sq_baseline_group1/metrics.json,"Static SmoothQuant INT8 exact baseline, alpha=0.85."
Qwen2.5-7B,models/Qwen2.5-7B,static_sq_pinn_w8a8_d8,static_sq,pinn_w8a8,8,8.705587649266464,146,0.7346189310656484,0.778563656147987,0.7504481179047998,0.696921862667719,0.7125420875420876,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_static_sq_pinn_w8a8_d8/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_static_sq_pinn_w8a8_d8_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
Qwen2.5-7B,models/Qwen2.5-7B,static_sq_pinn_w8a8_d16,static_sq,pinn_w8a8,16,8.704926707840523,146,0.733176871156598,0.7774755168661589,0.7531368253335989,0.6748224151539068,0.7272727272727273,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_static_sq_pinn_w8a8_d16/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_static_sq_pinn_w8a8_d16_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
Qwen2.5-7B,models/Qwen2.5-7B,static_sq_pinn_w8a8_d32,static_sq,pinn_w8a8,32,8.67746819435271,146,0.7289226802162369,0.7763873775843307,0.7501493726349333,0.6795580110497238,0.7095959595959596,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen2_5_7b_static_sq_pinn_w8a8_d32/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen2_5_7b_static_sq_pinn_w8a8_d32_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
Qwen3-8B,models/Qwen3-8B,bf16_exact,exact,baseline,,9.728187856261416,146,0.7524839705320889,0.7763873775843307,0.7497510456084445,0.6740331491712708,0.8097643097643098,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/wikitext/2026-06-08_qwen3_8b_bf16_exact_wikitext2_aligned/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/lm_eval/2026-06-07_180534_qwen3_8b_00_exact_group1/metrics.json,BF16 exact baseline; WikiText PPL rerun with Llama3-aligned full setup.
Qwen3-8B,models/Qwen3-8B,bf16_pinn_d8,exact,pinn_fp,8,9.466862330480758,146,0.7536392159932076,0.7774755168661589,0.750547699661422,0.6771902131018153,0.8093434343434344,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_exact_pinn_dim8/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_exact_pinn_dim8_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen3-8B,models/Qwen3-8B,bf16_pinn_d16,exact,pinn_fp,16,9.659865580530827,146,0.7523457440650236,0.7720348204570185,0.7495518820952002,0.6771902131018153,0.8106060606060606,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_exact_pinn_dim16/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_exact_pinn_dim16_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen3-8B,models/Qwen3-8B,bf16_pinn_d32,exact,pinn_fp,32,9.643927559686755,146,0.7524017360837776,0.7742110990206746,0.7496514638518224,0.6764009471191792,0.8093434343434344,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_exact_pinn_dim32/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_exact_pinn_dim32_group1/metrics.json,"BF16 backbone with SCNA/PINN approximation, approx_scope=all."
Qwen3-8B,models/Qwen3-8B,static_sq_w8a8_exact,static_sq,baseline,,10.053713198423925,146,0.7442861908652854,0.7671381936887922,0.7399920334594702,0.6787687450670876,0.7912457912457912,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/wikitext/2026-06-07_180534_qwen3_8b_08_static_sq_baseline/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/lm_eval/2026-06-07_180534_qwen3_8b_08_static_sq_baseline_group1/metrics.json,"Static SmoothQuant INT8 exact baseline, alpha=0.85."
Qwen3-8B,models/Qwen3-8B,static_sq_pinn_w8a8_d8,static_sq,pinn_w8a8,8,9.924109514452955,146,0.740378042882692,0.7714907508161044,0.7296355307707628,0.6716653512233622,0.7887205387205387,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_static_sq_pinn_w8a8_d8/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_static_sq_pinn_w8a8_d8_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
Qwen3-8B,models/Qwen3-8B,static_sq_pinn_w8a8_d16,static_sq,pinn_w8a8,16,9.9683554986082,146,0.7418792854032314,0.766050054406964,0.731925911173073,0.6795580110497238,0.789983164983165,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_static_sq_pinn_w8a8_d16/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_static_sq_pinn_w8a8_d16_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
Qwen3-8B,models/Qwen3-8B,static_sq_pinn_w8a8_d32,static_sq,pinn_w8a8,32,9.906194060872433,146,0.7394448173362466,0.7606093579978237,0.7288388767177854,0.6787687450670876,0.7895622895622896,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/wikitext/qwen3_8b_static_sq_pinn_w8a8_d32/metrics.json,${SOURCE_ROOT}/experiments/end2endacc_qwen_scna_eval/results/paper_aligned/2026-06-08_qwen_paper_aligned_after_precision/lm_eval/qwen3_8b_static_sq_pinn_w8a8_d32_group1/metrics.json,"Static SmoothQuant INT8 backbone plus W8A8 SCNA/PINN, alpha=0.85."
