data_type,acc_type,design,sample_count,array_sizes,area_per_pe_um2,power_per_pe_mw
FP16,FP16,Baseline,7,4;8;12;16;20;24;28,1194.333,0.276
FP16,FP16,SCOPE,7,4;8;12;16;20;24;28,1296.535,0.369
FP16,FP16,OneSA,6,4;8;12;16;20;24,2124.789,0.632
FP16,FP16,FuseMax,6,4;8;12;16;20;24,2295.447,0.907
FP16,FP16,FSA,6,4;8;12;16;20;24,2077.551,1.009
FP8,FP16,Baseline,7,4;8;12;16;20;24;28,671.499,0.166
FP8,FP16,SCOPE,7,4;8;12;16;20;24;28,765.302,0.205
FP8,FP16,OneSA,6,4;8;12;16;20;24,1070.952,0.342
FP8,FP16,FuseMax,5,4;8;12;16;20,2114.981,0.816
FP8,FP16,FSA,1,4,1838.214,0.588
INT16,INT32,Baseline,7,4;8;12;16;20;24;28,737.309,0.287
INT16,INT32,SCOPE,7,4;8;12;16;20;24;28,888.796,0.356
INT16,INT32,OneSA,7,4;8;12;16;20;24;28,1460.716,0.755
INT16,INT32,FuseMax,6,4;8;12;16;20;24,2717.881,1.502
INT8,INT32,Baseline,7,4;8;12;16;20;24;28,332.616,0.196
INT8,INT32,SCOPE,7,4;8;12;16;20;24;28,477.609,0.231
INT8,INT32,OneSA,7,4;8;12;16;20;24;28,602.123,0.434
INT8,INT32,FuseMax,6,4;8;12;16;20;24,2676.280,1.431
