design,data_type,acc_type,array_size,area_scope,power_scope,report_area_um2,report_power_mw,area_per_pe_um2,power_per_pe_mw
Baseline,FP16,FP16,4,whole_array,whole_array,18672.821985,5.786000,1167.051374062,0.361625000000
Baseline,FP16,FP16,8,whole_array,whole_array,76475.951954,19.693000,1194.936749281,0.307703125000
Baseline,FP16,FP16,12,whole_array,whole_array,171245.339856,40.844000,1189.203749000,0.283638888889
Baseline,FP16,FP16,16,whole_array,whole_array,305853.407728,66.881000,1194.739873938,0.261253906250
Baseline,FP16,FP16,20,whole_array,whole_array,480277.727615,99.080000,1200.694319038,0.247700000000
Baseline,FP16,FP16,24,whole_array,whole_array,693270.521462,137.912000,1203.594655316,0.239430555556
Baseline,FP16,FP16,28,whole_array,whole_array,948727.961493,182.776000,1210.112195782,0.233132653061
SCOPE,FP16,FP16,4,whole_array,whole_array,20524.139987,7.923000,1282.758749187,0.495187500000
SCOPE,FP16,FP16,8,whole_array,whole_array,81837.251980,27.013000,1278.707062188,0.422078125000
SCOPE,FP16,FP16,12,whole_array,whole_array,185596.109924,54.693000,1288.861874472,0.379812500000
SCOPE,FP16,FP16,16,whole_array,whole_array,331747.793875,88.700000,1295.889819824,0.346484375000
SCOPE,FP16,FP16,20,whole_array,whole_array,522677.735875,129.118000,1306.694339688,0.322795000000
SCOPE,FP16,FP16,24,whole_array,whole_array,753695.711810,180.997000,1308.499499670,0.314230902778
SCOPE,FP16,FP16,28,whole_array,whole_array,1030439.843688,237.283000,1314.336535316,0.302656887755
OneSA,FP16,FP16,4,whole_array,whole_array,31687.236003,12.549000,1980.452250188,0.784312500000
OneSA,FP16,FP16,8,whole_array,whole_array,129717.377956,43.363000,2026.834030562,0.677546875000
OneSA,FP16,FP16,12,whole_array,whole_array,297115.811873,88.963000,2063.304249118,0.617798611111
OneSA,FP16,FP16,16,whole_array,whole_array,532239.875393,150.573000,2079.062013254,0.588175781250
OneSA,FP16,FP16,20,whole_array,whole_array,830111.687309,226.849000,2075.279218272,0.567122500000
OneSA,FP16,FP16,24,whole_array,whole_array,1453709.627279,322.577000,2523.801436248,0.560029513889
FuseMax,FP16,FP16,4,whole_array,whole_array,36734.039887,15.085000,2295.877492937,0.942812500000
FuseMax,FP16,FP16,8,whole_array,whole_array,146357.567586,58.585000,2286.836993531,0.915390625000
FuseMax,FP16,FP16,12,whole_array,whole_array,328391.278957,129.576000,2280.494992757,0.899833333333
FuseMax,FP16,FP16,16,whole_array,whole_array,587975.344108,230.282000,2296.778687922,0.899539062500
