function,reparam,expected_best_mse,actual_best_mse,relative_error,pass
exp,exp,5.521856305534811e-09,5.521856305534811e-09,0.0,True
exp,none,3.895914687745972e-06,3.895914687745972e-06,0.0,True
exp2,exp,1.694996321077724e-08,1.694996321077724e-08,0.0,True
exp2,none,1.654799962125253e-05,1.654799962125253e-05,0.0,True
sigmoid,exp,6.777536043500731e-08,6.777536043500731e-08,0.0,True
sigmoid,none,3.7122688354429556e-06,3.7122688354429556e-06,0.0,True
erf,exp,1.2995579368180188e-07,1.2995579368180188e-07,0.0,True
erf,none,6.11546829532017e-06,6.11546829532017e-06,0.0,True
rsqrt,exp,2.4855514766386477e-06,2.4855514766386477e-06,0.0,True
rsqrt,none,0.005627915728837252,0.005627915728837252,0.0,True
sin,exp,6.474567726399982e-08,6.474567726399982e-08,0.0,True
sin,none,2.972477159346454e-05,2.972477159346454e-05,0.0,True
tanh,exp,1.6064053909303766e-07,1.6064053909303766e-07,0.0,True
tanh,none,1.5250291653501336e-05,1.5250291653501336e-05,0.0,True
softsign,exp,2.1119784321399493e-07,2.1119784321399493e-07,0.0,True
softsign,none,0.00012752387556247413,0.00012752387556247413,0.0,True
arctan,exp,3.0427594310822315e-07,3.0427594310822315e-07,0.0,True
arctan,none,8.352569420821965e-05,8.352569420821965e-05,0.0,True
