func,num_units,exp_best_mse,none_best_mse,ratio_exp_to_none,better,exp_best_epoch,none_best_epoch
exp,4,1.3096430393488845e-06,1.224592597282026e-05,0.1069452030214479,exp,632,529
exp,8,1.059917522638898e-07,7.13812710273487e-07,0.14848678195052115,exp,755,1251
exp,16,5.521856305534811e-09,3.895914687745972e-06,0.0014173452829711597,exp,6402,975
exp,32,1.3467117199184031e-08,1.417972498529707e-06,0.009497445975255555,exp,10277,492
exp2,4,1.828655172175786e-06,1.6585558114456944e-05,0.11025587197947972,exp,2926,881
exp2,8,1.412178249893259e-07,8.305921710416442e-07,0.1700206550372668,exp,775,1156
exp2,16,1.694996321077724e-08,1.654799962125253e-05,0.0010242907661786788,exp,2398,1936
exp2,32,1.6892162335579997e-08,1.8352997130932636e-06,0.009204034749784542,exp,5536,2970
sigmoid,4,7.5460857260623015e-06,7.545990229118615e-06,1.0000126553229975,none,3676,5831
sigmoid,8,4.844058594244416e-07,7.546002507297089e-06,0.06419370507179323,exp,1419,2207
sigmoid,16,6.777536043500731e-08,3.7122688354429556e-06,0.018257126150972903,exp,6891,577
sigmoid,32,5.0733632406263496e-08,1.1169869367222418e-06,0.04542007676037781,exp,9134,842
erf,4,1.888431688712444e-05,0.00019439122115727514,0.09714593475312241,exp,12450,11384
erf,8,1.5036217746455804e-06,1.8884344171965495e-05,0.07962266314113055,exp,1239,3290
erf,16,1.2995579368180188e-07,6.11546829532017e-06,0.021250342149799036,exp,7666,481
erf,32,5.0194135070569246e-08,1.324121626566921e-06,0.03790749585497571,exp,22245,596
rsqrt,4,0.00039673750870861113,0.005661253351718187,0.07007944779369422,exp,29,1948
rsqrt,8,0.0002344862587051466,0.001953361090272665,0.12004245393892597,exp,143,1846
rsqrt,16,2.4855514766386477e-06,0.005627915728837252,0.000441646889611862,exp,2630,1202
rsqrt,32,1.8014505087649013e-07,0.00010698295227484778,0.0016838668876297512,exp,1394,1596
sin,4,7.822115549060982e-06,7.875030132709071e-05,0.09932807135012338,exp,7584,10344
sin,8,5.68903089970263e-07,7.1527233558299486e-06,0.0795365711308503,exp,1812,622
sin,16,6.474567726399982e-08,2.972477159346454e-05,0.0021781724061501347,exp,14708,11693
sin,32,3.848209573220629e-08,1.8197056306235027e-06,0.021147429059182946,exp,19690,969
tanh,4,2.7984440748696215e-05,0.0002776209730654955,0.10080088849084975,exp,9282,1712
tanh,8,2.0516181393759325e-06,2.7981297535006888e-05,0.07332105084866743,exp,13491,782
tanh,16,1.6064053909303766e-07,1.5250291653501336e-05,0.010533604388881046,exp,5128,493
tanh,32,6.215023518052476e-08,1.7780424741431489e-06,0.03495430288327358,exp,11456,711
softsign,4,5.037037408328615e-05,0.0014976997626945376,0.03363182350557627,exp,3129,2615
softsign,8,3.4322870305913966e-06,4.9965641665039584e-05,0.06869294411549468,exp,472,789
softsign,16,2.1119784321399493e-07,0.00012752387556247413,0.0016561435439634894,exp,1273,635
softsign,32,1.7749655967236322e-08,5.7045901485253125e-05,0.0003111469098586297,exp,9938,99
arctan,4,8.366257679881528e-05,0.0008439847151748836,0.09912807103559856,exp,380,4
arctan,8,5.091217644803692e-06,8.360268839169294e-05,0.060897774255182606,exp,485,2781
arctan,16,3.0427594310822315e-07,8.352569420821965e-05,0.003642902294827976,exp,1977,1070
arctan,32,5.6691355609927996e-08,1.4353589904203545e-05,0.003949629046690651,exp,6575,480
