seq_len,n_rows,method,repetition,latency_ms
2048,32768,fp_stream_softmax_u8,1,0.11747200042009354
2048,32768,fp_stream_softmax_u8,2,0.11484800279140472
2048,32768,fp_stream_softmax_u8,3,0.11231999844312668
2048,32768,fp_stream_softmax_u8,4,0.11072000116109848
2048,32768,fp_stream_softmax_u8,5,0.1090560033917427
2048,32768,fp_stream_softmax_u8,6,0.11158400028944016
2048,32768,fp_stream_softmax_u8,7,0.10931199789047241
2048,32768,fp_stream_softmax_u8,8,0.10892800241708755
2048,32768,fp_stream_softmax_u8,9,0.10982400178909302
2048,32768,fp_stream_softmax_u8,10,0.1088000014424324
2048,32768,fp_stream_softmax_u8,11,0.10931199789047241
2048,32768,fp_stream_softmax_u8,12,0.10815999656915665
2048,32768,fp_stream_softmax_u8,13,0.10777600109577179
2048,32768,fp_stream_softmax_u8,14,0.10847999900579453
2048,32768,fp_stream_softmax_u8,15,0.10780800133943558
2048,32768,fp_stream_softmax_u8,16,0.10995200276374817
2048,32768,fp_stream_softmax_u8,17,0.10979200154542923
2048,32768,fp_stream_softmax_u8,18,0.10995200276374817
2048,32768,fp_stream_softmax_u8,19,0.1090560033917427
2048,32768,fp_stream_softmax_u8,20,0.10787200182676315
2048,32768,illm_di_softmax_u8,1,0.1828480064868927
2048,32768,illm_di_softmax_u8,2,0.18192000687122345
2048,32768,illm_di_softmax_u8,3,0.18086400628089905
2048,32768,illm_di_softmax_u8,4,0.18051199615001678
2048,32768,illm_di_softmax_u8,5,0.18012799322605133
2048,32768,illm_di_softmax_u8,6,0.18060800433158875
2048,32768,illm_di_softmax_u8,7,0.18060800433158875
2048,32768,illm_di_softmax_u8,8,0.1799039989709854
2048,32768,illm_di_softmax_u8,9,0.17987200617790222
2048,32768,illm_di_softmax_u8,10,0.1799360066652298
2048,32768,illm_di_softmax_u8,11,0.1807679980993271
2048,32768,illm_di_softmax_u8,12,0.17961600422859192
2048,32768,illm_di_softmax_u8,13,0.1804479956626892
2048,32768,illm_di_softmax_u8,14,0.17980800569057465
2048,32768,illm_di_softmax_u8,15,0.1804800033569336
2048,32768,illm_di_softmax_u8,16,0.18051199615001678
2048,32768,illm_di_softmax_u8,17,0.17945599555969238
2048,32768,illm_di_softmax_u8,18,0.18025599420070648
2048,32768,illm_di_softmax_u8,19,0.17980800569057465
2048,32768,illm_di_softmax_u8,20,0.18006399273872375
2048,32768,intattention_idx_softmax_u8,1,0.12256000190973282
2048,32768,intattention_idx_softmax_u8,2,0.12060800194740295
2048,32768,intattention_idx_softmax_u8,3,0.11955200135707855
2048,32768,intattention_idx_softmax_u8,4,0.1196800023317337
2048,32768,intattention_idx_softmax_u8,5,0.11923199892044067
2048,32768,intattention_idx_softmax_u8,6,0.12060800194740295
2048,32768,intattention_idx_softmax_u8,7,0.11939200013875961
2048,32768,intattention_idx_softmax_u8,8,0.11900799721479416
2048,32768,intattention_idx_softmax_u8,9,0.11929599940776825
2048,32768,intattention_idx_softmax_u8,10,0.12057600170373917
2048,32768,intattention_idx_softmax_u8,11,0.12147200107574463
2048,32768,intattention_idx_softmax_u8,12,0.11843200027942657
2048,32768,intattention_idx_softmax_u8,13,0.11833599954843521
2048,32768,intattention_idx_softmax_u8,14,0.11977600306272507
2048,32768,intattention_idx_softmax_u8,15,0.1188800036907196
2048,32768,intattention_idx_softmax_u8,16,0.11923199892044067
2048,32768,intattention_idx_softmax_u8,17,0.11846400052309036
2048,32768,intattention_idx_softmax_u8,18,0.11900799721479416
2048,32768,intattention_idx_softmax_u8,19,0.11875200271606445
2048,32768,intattention_idx_softmax_u8,20,0.11910399794578552
2048,32768,memory_floor_1read_1write,1,0.061055999249219894
2048,32768,memory_floor_1read_1write,2,0.06032000109553337
2048,32768,memory_floor_1read_1write,3,0.060256000608205795
2048,32768,memory_floor_1read_1write,4,0.058079998940229416
2048,32768,memory_floor_1read_1write,5,0.05753599852323532
2048,32768,memory_floor_1read_1write,6,0.05967999994754791
2048,32768,memory_floor_1read_1write,7,0.05913599953055382
2048,32768,memory_floor_1read_1write,8,0.0594559982419014
2048,32768,memory_floor_1read_1write,9,0.05750399827957153
2048,32768,memory_floor_1read_1write,10,0.057792000472545624
2048,32768,memory_floor_1read_1write,11,0.05894400179386139
2048,32768,memory_floor_1read_1write,12,0.0589120015501976
2048,32768,memory_floor_1read_1write,13,0.058400001376867294
