model_key,quant_key,mode,attention_path,scna,scna_dim,scna_input_quant_bits,scna_input_clip_min,scna_input_scale,scna_output_floor_log,ppl,ppl_delta_vs_exact_eager,ppl_delta_vs_exact_sdpa,acc_avg,acc_delta_vs_exact_eager,acc_delta_vs_exact_sdpa,arc_challenge,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,social_iqa,winogrande,returncode,scna_artifact_root,result_dir
llama2_7b,w4a4kv4,exact_sdpa,sdpa,False,,,,,,5.9417901039123535,,0.0,0.6289,,0.0,0.4352,0.7134,0.7355,0.7334,0.7182,0.418,0.7737,0.4575,0.6756,0,,exact_llama2_7b_w4a4kv4_sdpa
llama2_7b,w4a4kv4,exact_eager_maskfix_acc,eager,False,,0,,1.0,,5.946303844451904,,0.004513740539550781,0.6258,,-0.0030999999999999917,0.436,0.7062,0.7404,0.7342,0.7157,0.418,0.772,0.4498,0.6598,0,,eval_llama2_7b_w4a4kv4_exact_eager_maskfix_acc
llama2_7b,w4a4kv4,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,5.957137107849121,,0.015347003936767578,0.6293,,0.00039999999999995595,0.4326,0.7125,0.7385,0.7346,0.7151,0.416,0.7791,0.4591,0.6764,0,,eval_llama2_7b_w4a4kv4_scna_d16_maskfix_acc
llama2_7b,w4a4kv4,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,5.95246696472168,,0.010676860809326172,0.6277,,-0.0011999999999999789,0.4403,0.7134,0.7367,0.7326,0.7186,0.408,0.7748,0.4504,0.6748,0,,eval_llama2_7b_w4a4kv4_scna_d32_maskfix_acc
llama2_7b,w4a4kv4,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,5.9992594718933105,,0.05746936798095703,0.6244,,-0.0045000000000000595,0.4283,0.7134,0.7391,0.7316,0.7138,0.412,0.7737,0.4386,0.6693,0,,eval_llama2_7b_w4a4kv4_scna_d8_maskfix_acc
llama2_7b,w6a6kv6,exact_sdpa,sdpa,False,,,,,,5.500692844390869,,0.0,0.6501,,0.0,0.4514,0.7386,0.7752,0.7585,0.7347,0.444,0.79,0.4647,0.6938,0,,exact_llama2_7b_w6a6kv6_sdpa
llama2_7b,w6a6kv6,exact_eager_maskfix_acc,eager,False,,0,,1.0,,5.50187873840332,,0.0011858940124511719,0.6509,,0.0008000000000000229,0.4497,0.742,0.7709,0.7581,0.7374,0.444,0.7927,0.4626,0.7009,0,,eval_llama2_7b_w6a6kv6_exact_eager_maskfix_acc
llama2_7b,w6a6kv6,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,5.5032877922058105,,0.0025949478149414062,0.6504,,0.00029999999999996696,0.4462,0.7437,0.7706,0.7577,0.7345,0.444,0.7916,0.4585,0.7064,0,,eval_llama2_7b_w6a6kv6_scna_d16_maskfix_acc
llama2_7b,w6a6kv6,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,5.504350185394287,,0.0036573410034179688,0.6506,,0.0004999999999999449,0.4505,0.7437,0.7731,0.7579,0.7341,0.444,0.7889,0.4642,0.6993,0,,eval_llama2_7b_w6a6kv6_scna_d32_maskfix_acc
llama2_7b,w6a6kv6,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,5.535458087921143,,0.03476524353027344,0.6499,,-0.00019999999999997797,0.4497,0.7412,0.7734,0.7566,0.7386,0.432,0.7911,0.4637,0.7032,0,,eval_llama2_7b_w6a6kv6_scna_d8_maskfix_acc
llama3_8b,w4a4kv4,exact_sdpa,sdpa,False,,,,,,7.3300604820251465,,0.0,0.6442,,0.0,0.4838,0.7424,0.7838,0.7526,0.7033,0.416,0.7802,0.4427,0.693,0,,exact_llama3_8b_w4a4kv4_sdpa
llama3_8b,w4a4kv4,exact_eager_maskfix_acc,eager,False,,0,,1.0,,7.32977819442749,,-0.00028228759765625,0.6464,,0.0021999999999999797,0.4812,0.7546,0.7713,0.7523,0.7023,0.442,0.7791,0.4422,0.693,0,,eval_llama3_8b_w4a4kv4_exact_eager_maskfix_acc
llama3_8b,w4a4kv4,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,7.344878673553467,,0.014818191528320312,0.6511,,0.006900000000000017,0.4855,0.7551,0.7774,0.7522,0.7157,0.45,0.7807,0.4473,0.6961,0,,eval_llama3_8b_w4a4kv4_scna_d16_maskfix_acc
llama3_8b,w4a4kv4,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,7.346691131591797,,0.01663064956665039,0.6472,,0.0030000000000000027,0.5,0.75,0.7697,0.749,0.7083,0.432,0.7775,0.4483,0.6898,0,,eval_llama3_8b_w4a4kv4_scna_d32_maskfix_acc
llama3_8b,w4a4kv4,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,7.444907188415527,,0.11484670639038086,0.6444,,0.00019999999999997797,0.4863,0.7487,0.7798,0.75,0.699,0.432,0.7769,0.4391,0.6875,0,,eval_llama3_8b_w4a4kv4_scna_d8_maskfix_acc
