model_key,quant_key,mode,ppl,ppl_delta_vs_fixed_eager,ppl_delta_vs_sdpa,acc_avg,acc_delta_vs_fixed_eager,acc_delta_vs_sdpa,scna_input_quant_bits,returncode,result_dir
llama2_7b,w4a4kv4,exact_sdpa,5.9417901039123535,-0.004513740539550781,0.0,0.724,0.005900000000000016,0.0,,0,exact_llama2_7b_w4a4kv4_sdpa
llama2_7b,w4a4kv4,exact_eager_maskfix_acc,5.946303844451904,0.0,0.004513740539550781,0.7181,0.0,-0.005900000000000016,0,0,eval_llama2_7b_w4a4kv4_exact_eager_maskfix_acc
llama2_7b,w4a4kv4,scna_d8_maskfix_acc,5.9992594718933105,0.05295562744140625,0.05746936798095703,0.722,0.0039000000000000146,-0.0020000000000000018,0,0,eval_llama2_7b_w4a4kv4_scna_d8_maskfix_acc
llama2_7b,w4a4kv4,scna_d16_maskfix_acc,5.957137107849121,0.010833263397216797,0.015347003936767578,0.7257,0.007600000000000051,0.0017000000000000348,0,0,eval_llama2_7b_w4a4kv4_scna_d16_maskfix_acc
llama2_7b,w4a4kv4,scna_d32_maskfix_acc,5.95246696472168,0.006163120269775391,0.010676860809326172,0.7239,0.005800000000000027,-9.999999999998899e-05,0,0,eval_llama2_7b_w4a4kv4_scna_d32_maskfix_acc
llama2_7b,w6a6kv6,exact_sdpa,5.500692844390869,-0.0011858940124511719,0.0,0.7452,-0.0031999999999999806,0.0,,0,exact_llama2_7b_w6a6kv6_sdpa
llama2_7b,w6a6kv6,exact_eager_maskfix_acc,5.50187873840332,0.0,0.0011858940124511719,0.7484,0.0,0.0031999999999999806,0,0,eval_llama2_7b_w6a6kv6_exact_eager_maskfix_acc
llama2_7b,w6a6kv6,scna_d8_maskfix_acc,5.535458087921143,0.033579349517822266,0.03476524353027344,0.748,-0.00039999999999995595,0.0028000000000000247,0,0,eval_llama2_7b_w6a6kv6_scna_d8_maskfix_acc
llama2_7b,w6a6kv6,scna_d16_maskfix_acc,5.5032877922058105,0.0014090538024902344,0.0025949478149414062,0.7499,0.0015000000000000568,0.0047000000000000375,0,0,eval_llama2_7b_w6a6kv6_scna_d16_maskfix_acc
llama2_7b,w6a6kv6,scna_d32_maskfix_acc,5.504350185394287,0.002471446990966797,0.0036573410034179688,0.7475,-0.0008999999999999009,0.0023000000000000798,0,0,eval_llama2_7b_w6a6kv6_scna_d32_maskfix_acc
llama3_8b,w4a4kv4,exact_sdpa,7.3300604820251465,0.00028228759765625,0.0,0.742,-0.0028000000000000247,0.0,,0,exact_llama3_8b_w4a4kv4_sdpa
llama3_8b,w4a4kv4,exact_eager_maskfix_acc,7.32977819442749,0.0,-0.00028228759765625,0.7448,0.0,0.0028000000000000247,0,0,eval_llama3_8b_w4a4kv4_exact_eager_maskfix_acc
llama3_8b,w4a4kv4,scna_d8_maskfix_acc,7.444907188415527,0.11512899398803711,0.11484670639038086,0.7408,-0.0040000000000000036,-0.0011999999999999789,0,0,eval_llama3_8b_w4a4kv4_scna_d8_maskfix_acc
llama3_8b,w4a4kv4,scna_d16_maskfix_acc,7.344878673553467,0.015100479125976562,0.014818191528320312,0.746,0.0011999999999999789,0.0040000000000000036,0,0,eval_llama3_8b_w4a4kv4_scna_d16_maskfix_acc
llama3_8b,w4a4kv4,scna_d32_maskfix_acc,7.346691131591797,0.01691293716430664,0.01663064956665039,0.7416,-0.0031999999999999806,-0.00039999999999995595,0,0,eval_llama3_8b_w4a4kv4_scna_d32_maskfix_acc
llama3_8b,w6a6kv6,exact_sdpa,6.228494167327881,-0.0011115074157714844,0.0,0.7762,-0.00039999999999995595,0.0,,0,exact_llama3_8b_w6a6kv6_sdpa
llama3_8b,w6a6kv6,exact_eager_maskfix_acc,6.229605674743652,0.0,0.0011115074157714844,0.7766,0.0,0.00039999999999995595,0,0,eval_llama3_8b_w6a6kv6_exact_eager_maskfix_acc
llama3_8b,w6a6kv6,scna_d8_maskfix_acc,6.315341472625732,0.08573579788208008,0.08684730529785156,0.7762,-0.00039999999999995595,0.0,0,0,eval_llama3_8b_w6a6kv6_scna_d8_maskfix_acc
llama3_8b,w6a6kv6,scna_d16_maskfix_acc,6.237985134124756,0.008379459381103516,0.009490966796875,0.7761,-0.0004999999999999449,-9.999999999998899e-05,0,0,eval_llama3_8b_w6a6kv6_scna_d16_maskfix_acc
llama3_8b,w6a6kv6,scna_d32_maskfix_acc,6.237723350524902,0.00811767578125,0.009229183197021484,0.7762,-0.00039999999999995595,0.0,0,0,eval_llama3_8b_w6a6kv6_scna_d32_maskfix_acc
