model_key,quant_key,mode,attention_path,scna,scna_dim,scna_input_quant_bits,scna_input_clip_min,scna_input_scale,scna_output_floor_log,ppl,ppl_delta_vs_exact_eager,ppl_delta_vs_exact_sdpa,acc_avg,acc_delta_vs_exact_eager,acc_delta_vs_exact_sdpa,arc_challenge,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,social_iqa,winogrande,returncode,scna_artifact_root,result_dir
llama2_7b,w4a4kv4,exact_eager20,eager,False,,0,,1.0,,9.514030456542969,0.07298088073730469,3.5722403526306152,,,,,,,,,,,,,0,,exact_llama2_7b_w4a4kv4_eager20
llama2_7b,w4a4kv4,exact_sdpa,sdpa,False,,,,,,5.9417901039123535,-3.4992594718933105,0.0,0.6289,0.09499999999999997,0.0,0.4352,0.7134,0.7355,0.7334,0.7182,0.418,0.7737,0.4575,0.6756,0,,exact_llama2_7b_w4a4kv4_sdpa
llama2_7b,w4a4kv4,exact_eager,eager,False,,,,,,9.441049575805664,0.0,3.4992594718933105,0.5339,0.0,-0.09499999999999997,0.3166,0.5206,0.6798,0.6792,0.6041,0.324,0.6638,0.4017,0.6156,0,,eval_llama2_7b_w4a4kv4_exact_eager
llama2_7b,w4a4kv4,exact_eager_eager20,eager,False,,0,,1.0,,9.514030456542969,0.07298088073730469,3.5722403526306152,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_exact_eager_eager20
llama2_7b,w4a4kv4,exact_eager_maskfix,eager,False,,0,,1.0,,5.946303844451904,-3.4947457313537598,0.004513740539550781,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_exact_eager_maskfix
llama2_7b,w4a4kv4,exact_eager_maskfix_acc,eager,False,,0,,1.0,,5.946303844451904,-3.4947457313537598,0.004513740539550781,0.6258,0.09189999999999998,-0.0030999999999999917,0.436,0.7062,0.7404,0.7342,0.7157,0.418,0.772,0.4498,0.6598,0,,eval_llama2_7b_w4a4kv4_exact_eager_maskfix_acc
llama2_7b,w4a4kv4,scna_d16,eager,True,16,,,,,207.7085418701172,198.26749229431152,201.76675176620483,0.4233,-0.11060000000000003,-0.2056,0.291,0.3704,0.6419,0.5434,0.2608,0.262,0.5892,0.3439,0.5075,0,,eval_llama2_7b_w4a4kv4_scna_d16
llama2_7b,w4a4kv4,scna_d16_clip6,eager,True,16,0,-6.0,1.0,,2526.551025390625,2517.1099758148193,2520.6092352867126,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d16_clip6
llama2_7b,w4a4kv4,scna_d16_clip8,eager,True,16,0,-8.0,1.0,,198.41493225097656,188.9738826751709,192.4731421470642,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d16_clip8
llama2_7b,w4a4kv4,scna_d16_clip8_q6in,eager,True,16,6,-8.0,1.0,,202.81602478027344,193.37497520446777,196.87423467636108,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d16_clip8_q6in
llama2_7b,w4a4kv4,scna_d16_maskfix,eager,True,16,0,,1.0,,5.957137107849121,-3.483912467956543,0.015347003936767578,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d16_maskfix
llama2_7b,w4a4kv4,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,5.957137107849121,-3.483912467956543,0.015347003936767578,0.6293,0.09539999999999993,0.00039999999999995595,0.4326,0.7125,0.7385,0.7346,0.7151,0.416,0.7791,0.4591,0.6764,0,,eval_llama2_7b_w4a4kv4_scna_d16_maskfix_acc
llama2_7b,w4a4kv4,scna_d16_q6in,eager,True,16,6,,1.0,,212.1608428955078,202.71979331970215,206.21905279159546,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d16_q6in
llama2_7b,w4a4kv4,scna_d32,eager,True,32,,,,,211.4779510498047,202.03690147399902,205.53616094589233,0.4213,-0.11260000000000003,-0.2076,0.2807,0.3771,0.6416,0.5439,0.2558,0.264,0.5767,0.348,0.5043,0,,eval_llama2_7b_w4a4kv4_scna_d32
llama2_7b,w4a4kv4,scna_d32_clip8,eager,True,32,0,-8.0,1.0,,206.26182556152344,196.82077598571777,200.32003545761108,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d32_clip8
llama2_7b,w4a4kv4,scna_d32_fit_L16_g15,eager,True,32,0,,1.0,,193.83261108398438,184.3915615081787,187.89082098007202,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L16_g15,eval_llama2_7b_w4a4kv4_scna_d32_fit_L16_g15
llama2_7b,w4a4kv4,scna_d32_fit_L16_g2,eager,True,32,0,,1.0,,198.5394744873047,189.09842491149902,192.59768438339233,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L16_g2,eval_llama2_7b_w4a4kv4_scna_d32_fit_L16_g2
llama2_7b,w4a4kv4,scna_d32_fit_L24_g2,eager,True,32,0,,1.0,,189.4967498779297,180.05570030212402,183.55495977401733,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,eval_llama2_7b_w4a4kv4_scna_d32_fit_L24_g2
llama2_7b,w4a4kv4,scna_d32_fit_L24_g2_eager20,eager,True,32,0,,1.0,,74.6650161743164,65.22396659851074,68.72322607040405,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,eval_llama2_7b_w4a4kv4_scna_d32_fit_L24_g2_eager20
llama2_7b,w4a4kv4,scna_d32_fit_attn_l2w4,eager,True,32,0,,1.0,,200.50303649902344,191.06198692321777,194.56124639511108,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_attnfit_l2_w4_d32_L16g15,eval_llama2_7b_w4a4kv4_scna_d32_fit_attn_l2w4
llama2_7b,w4a4kv4,scna_d32_fit_roll_l2w4,eager,True,32,0,,1.0,,203.79417419433594,194.35312461853027,197.85238409042358,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_rollfit_l2_w4_d32_from_pwlL24,eval_llama2_7b_w4a4kv4_scna_d32_fit_roll_l2w4
llama2_7b,w4a4kv4,scna_d32_fit_roll_l2w4_eager20,eager,True,32,0,,1.0,,81.42093658447266,71.97988700866699,75.4791464805603,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_rollfit_l2_w4_d32_from_pwlL24,eval_llama2_7b_w4a4kv4_scna_d32_fit_roll_l2w4_eager20
llama2_7b,w4a4kv4,scna_d32_floor12,eager,True,32,0,,1.0,-12.0,209.145263671875,199.70421409606934,203.20347356796265,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d32_floor12
llama2_7b,w4a4kv4,scna_d32_floor16,eager,True,32,0,,1.0,-16.0,211.6482391357422,202.20718955993652,205.70644903182983,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d32_floor16
llama2_7b,w4a4kv4,scna_d32_maskfix,eager,True,32,0,,1.0,,5.95246696472168,-3.4885826110839844,0.010676860809326172,,,,,,,,,,,,,0,,eval_llama2_7b_w4a4kv4_scna_d32_maskfix
llama2_7b,w4a4kv4,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,5.95246696472168,-3.4885826110839844,0.010676860809326172,0.6277,0.0938,-0.0011999999999999789,0.4403,0.7134,0.7367,0.7326,0.7186,0.408,0.7748,0.4504,0.6748,0,,eval_llama2_7b_w4a4kv4_scna_d32_maskfix_acc
llama2_7b,w4a4kv4,scna_d8,eager,True,8,,,,,238.3765869140625,228.93553733825684,232.43479681015015,0.421,-0.11290000000000006,-0.20790000000000003,0.2782,0.3721,0.6391,0.5431,0.2593,0.256,0.5898,0.349,0.502,0,,eval_llama2_7b_w4a4kv4_scna_d8
