project_id,job_id,family,array_size,input_dtype,acc_dtype,job_directory,rtl_dir,rtl_provenance,correspondence_confidence,retained_upload_zip,byte_matches_retained_upload_zip
20260405_185329_ebd0,20260405_185330_4366,classical,4,dwfp16,dwfp16,n4_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n4_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n4/upload.zip,true
20260405_185329_ebd0,20260405_185331_4375,classical,4,dwfp8e4m3,dwfp16,n4_dwfp8e4m3_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n4_dwfp8e4m3_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n4/upload.zip,true
20260405_185329_ebd0,20260405_185331_aecd,classical,4,s16,s32,n4_s16_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n4_s16_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n4/upload.zip,true
20260405_185329_ebd0,20260405_185331_1082,classical,4,s8,s32,n4_s8_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n4_s8_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n4/upload.zip,true
20260405_185330_49a8,20260405_185337_6448,classical,8,dwfp16,dwfp16,n8_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n8_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n8/upload.zip,true
20260405_185330_49a8,20260405_185338_31d6,classical,8,dwfp8e4m3,dwfp16,n8_dwfp8e4m3_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n8_dwfp8e4m3_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n8/upload.zip,true
20260405_185330_49a8,20260405_185338_cbaa,classical,8,s16,s32,n8_s16_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n8_s16_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n8/upload.zip,true
20260405_185330_49a8,20260405_185338_a9bc,classical,8,s8,s32,n8_s8_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n8_s8_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n8/upload.zip,true
20260405_185330_105d,20260405_185344_39fc,classical,12,dwfp16,dwfp16,n12_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n12_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n12/upload.zip,true
20260405_185330_105d,20260405_185344_bfad,classical,12,dwfp8e4m3,dwfp16,n12_dwfp8e4m3_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n12_dwfp8e4m3_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n12/upload.zip,true
20260405_185330_105d,20260405_185344_27ef,classical,12,s16,s32,n12_s16_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n12_s16_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n12/upload.zip,true
20260405_185330_105d,20260405_185344_5721,classical,12,s8,s32,n12_s8_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n12_s8_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n12/upload.zip,true
20260405_185330_340c,20260405_185351_982f,classical,16,dwfp16,dwfp16,n16_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n16_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n16/upload.zip,true
20260405_185330_340c,20260405_185351_2099,classical,16,dwfp8e4m3,dwfp16,n16_dwfp8e4m3_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n16_dwfp8e4m3_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n16/upload.zip,true
20260405_185330_340c,20260405_185351_a7ab,classical,16,s16,s32,n16_s16_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n16_s16_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n16/upload.zip,true
20260405_185330_340c,20260405_185351_eb30,classical,16,s8,s32,n16_s8_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n16_s8_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n16/upload.zip,true
20260405_185330_e1e5,20260405_185357_3e0c,classical,20,dwfp16,dwfp16,n20_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n20_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n20/upload.zip,true
20260405_185330_e1e5,20260405_185357_7b91,classical,20,dwfp8e4m3,dwfp16,n20_dwfp8e4m3_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n20_dwfp8e4m3_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n20/upload.zip,true
20260405_185330_e1e5,20260405_185357_cd30,classical,20,s16,s32,n20_s16_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n20_s16_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n20/upload.zip,true
20260405_185330_e1e5,20260405_185357_a67b,classical,20,s8,s32,n20_s8_s32,../../../hardware/rtl/paper-mesh-snapshot/classical/n20_s8_s32,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n20/upload.zip,true
20260405_185331_d066,20260405_185403_09ba,classical,24,dwfp16,dwfp16,n24_dwfp16_dwfp16,../../../hardware/rtl/paper-mesh-snapshot/classical/n24_dwfp16_dwfp16,byte-matched-retained-upload-zip,exact,rtl/generated/meshes/build/classical/n24/upload.zip,true
